step,train_l1_loss_mean,train_l1_loss_std,train_l2_loss_mean,train_l2_loss_std,train_corr_mean,train_corr_std,test_l1_loss_mean,test_l1_loss_std,test_l2_loss_mean,test_l2_loss_std,test_corr_mean,test_corr_std
999,6.938252925872803,97.62203216552734,10828.998046875,257437.796875,0.002066446002572775,0.05324738100171089,0.119883693754673,0.004858352709561586,0.022630367428064346,0.002043546177446842,-0.007170762866735458,0.0621100515127182
1999,0.11610680818557739,0.005840378813445568,0.022434696555137634,0.0025980889331549406,0.004038924351334572,0.058485500514507294,0.1128811463713646,0.0059167989529669285,0.021939268335700035,0.003059916663914919,0.009239287115633488,0.057406652718782425
2999,0.11577466875314713,0.005615663714706898,0.022299932315945625,0.002527610631659627,0.004245362710207701,0.058255650103092194,0.11495310813188553,0.005117547232657671,0.021642077714204788,0.0024907018523663282,-0.005283960606902838,0.061779748648405075
3999,0.1156931146979332,0.005556752439588308,0.02226419188082218,0.0025120372883975506,0.005153271835297346,0.05310710519552231,0.11331862956285477,0.0055249533616006374,0.021624432876706123,0.002803850919008255,-0.009701892733573914,0.051741138100624084
4999,0.1156136766076088,0.005550403147935867,0.02223849669098854,0.002526478376239538,0.004097428172826767,0.055681243538856506,0.1139114648103714,0.005378464702516794,0.02155568078160286,0.002667752793058753,-0.0031762775033712387,0.053442247211933136
5999,0.1156313568353653,0.005630496423691511,0.022251609712839127,0.002532125450670719,0.005379228387027979,0.055984240025281906,0.1144397184252739,0.005318864714354277,0.02159494161605835,0.0025881610345095396,-0.0017136287642642856,0.05215917155146599
6999,0.11562997847795486,0.005513445474207401,0.022245826199650764,0.0025234417989850044,0.005888050887733698,0.055327627807855606,0.11396720260381699,0.005381981376558542,0.02155638299882412,0.002655431628227234,-0.010667621158063412,0.06034256890416145
7999,0.11554333567619324,0.0055884672328829765,0.022223062813282013,0.002513457555323839,0.006388350389897823,0.054640911519527435,0.11488450318574905,0.005220170132815838,0.021614819765090942,0.0024969838559627533,-0.0008885846473276615,0.0640210211277008
8999,0.1155557781457901,0.0055563785135746,0.02221609465777874,0.0025173842441290617,0.003947409335523844,0.05584792047739029,0.11511697620153427,0.005258713848888874,0.021643808111548424,0.0024959275033324957,-0.008123425766825676,0.04564463719725609
9999,0.11546964943408966,0.005548861343413591,0.02219063602387905,0.0025144005194306374,0.005727819632738829,0.05571291223168373,0.11394625157117844,0.005351505242288113,0.02153882011771202,0.0026419968344271183,-0.0072302743792533875,0.06571871787309647
10999,0.11549188941717148,0.005520234815776348,0.02219374105334282,0.0025155048351734877,0.0067180972546339035,0.05423573777079582,0.11461956799030304,0.005285411607474089,0.021590998396277428,0.0025578155182302,-0.0076467543840408325,0.06199006736278534
11999,0.11548691987991333,0.005461467895656824,0.022192496806383133,0.0025258867535740137,0.007682831492275,0.055478207767009735,0.1134582981467247,0.005500228144228458,0.021549751982092857,0.002746293321251869,-0.012039422988891602,0.0675683543086052
12999,0.11545950174331665,0.005483265966176987,0.022178569808602333,0.0025018390733748674,0.007993554696440697,0.05558939650654793,0.11408186703920364,0.005380553193390369,0.02154471166431904,0.002638088772073388,-0.007092483341693878,0.047993775457143784
13999,0.11541102081537247,0.005393126979470253,0.022166626527905464,0.0025082577485591173,0.005722238682210445,0.055927470326423645,0.1133279874920845,0.005605321377515793,0.021554943174123764,0.0027952310629189014,-0.005015645641833544,0.05237707868218422
14999,0.11540564149618149,0.005414802581071854,0.022169215604662895,0.0024972136598080397,0.007528373971581459,0.05396074801683426,0.11469664424657822,0.00524094607681036,0.021587003022432327,0.002543225884437561,-0.007795990910381079,0.048042502254247665
15999,0.11538814753293991,0.005432705860584974,0.022150838747620583,0.0024914625100791454,0.00882876105606556,0.054760999977588654,0.11324136704206467,0.005650213919579983,0.021584153175354004,0.0028332045767456293,-0.032653238624334335,0.0495227687060833
16999,0.11539088189601898,0.00541409058496356,0.022154327481985092,0.0025027140509337187,0.008454389870166779,0.05611363425850868,0.11313094943761826,0.005697982851415873,0.021579185500741005,0.0028504026122391224,-0.010349969379603863,0.062010496854782104
17999,0.11534994840621948,0.005439641419798136,0.022149020805954933,0.0025002951733767986,0.009764754213392735,0.05405455455183983,0.11389782279729843,0.005418994463980198,0.021538766101002693,0.002681559883058071,-0.021371643990278244,0.05706584453582764
18999,0.11534826457500458,0.005432124249637127,0.022143302485346794,0.0025002381298691034,0.010383512824773788,0.05572795495390892,0.11636848747730255,0.005213975440710783,0.02182924561202526,0.002375255571678281,-0.022771989926695824,0.05381446331739426
19999,0.11542155593633652,0.005414675921201706,0.0221590306609869,0.0025180296506732702,0.009617894887924194,0.054168276488780975,0.11395949870347977,0.0053892433643341064,0.02153344452381134,0.0026591047644615173,-0.0018427717732265592,0.057809017598629
20999,0.11535616219043732,0.0054159145802259445,0.02214055322110653,0.0025009748060256243,0.00977655965834856,0.055158548057079315,0.11463038623332977,0.005309091415256262,0.02158333733677864,0.0025675147771835327,-0.017534611746668816,0.0611698143184185
21999,0.11535126715898514,0.005424289498478174,0.02214032970368862,0.002490096725523472,0.009527158923447132,0.05505463108420372,0.11300085484981537,0.005763048771768808,0.021607588976621628,0.002899372251704335,-0.005608334206044674,0.06044022738933563
22999,0.11536674201488495,0.005377669353038073,0.022143105044960976,0.002491885097697377,0.008767467923462391,0.05572115629911423,0.11455567181110382,0.005351540632545948,0.021572308614850044,0.0025848380755633116,-0.012557877227663994,0.05673893541097641
