s,time_index,corr_mean,corr_std
09,0,0.9337370991706848,0.0021264313254505396
08,1,0.4985887110233307,0.020976457744836807
07,2,0.5195018649101257,0.04411179572343826
06,3,0.5719004273414612,0.06332197040319443
05,4,0.6032422780990601,0.06956961005926132
04,5,0.6209486126899719,0.07043466717004776
alpha,6,0.6348087787628174,0.06930101662874222
03,7,0.6427510976791382,0.06582361459732056
02,8,0.6433796882629395,0.07370337098836899
01,9,0.5644681453704834,0.09847129881381989
