s,time_index,rmsd
09,0,0.10561959445476532
08,1,0.15027405321598053
07,2,0.19988463819026947
06,3,0.2693415582180023
05,4,0.35503947734832764
04,5,0.4591560363769531
alpha,6,0.5960125923156738
03,7,0.7738243341445923
02,8,1.0607973337173462
01,9,0.4993410110473633
