step,train_l1_loss_mean,train_l1_loss_std,train_l2_loss_mean,train_l2_loss_std,train_corr_mean,train_corr_std,test_l1_loss_mean,test_l1_loss_std,test_l2_loss_mean,test_l2_loss_std,test_corr_mean,test_corr_std
999,1.3266409635543823,11.192647933959961,135.0657501220703,3266.9521484375,0.18919669091701508,0.19970157742500305,0.13631580770015717,0.019517961889505386,0.02956303581595421,0.008590984158217907,0.3630882501602173,0.09210202097892761
1999,0.14104849100112915,0.018999937921762466,0.0308042261749506,0.008819482289254665,0.4108830988407135,0.10397148877382278,0.13592742383480072,0.020109832286834717,0.029478177428245544,0.008806866593658924,0.38928455114364624,0.10252004116773605
2999,0.1390852928161621,0.01822182536125183,0.029812723398208618,0.0081850066781044,0.4175930619239807,0.10548607259988785,0.133138969540596,0.016361629590392113,0.027325032278895378,0.00688058789819479,0.40122807025909424,0.1102580800652504
3999,0.13745754957199097,0.016988389194011688,0.029111603274941444,0.007529408670961857,0.427919864654541,0.10798247903585434,0.13552047312259674,0.020600220188498497,0.029706520959734917,0.009094402194023132,0.4107087254524231,0.11145038157701492
4999,0.13775478303432465,0.01742614060640335,0.02923506312072277,0.007820243015885353,0.4265647828578949,0.10858474671840668,0.13275371491909027,0.015131566673517227,0.0271355751901865,0.006324073299765587,0.40953701734542847,0.11220018565654755
5999,0.13710172474384308,0.017132215201854706,0.02894984744489193,0.007620329037308693,0.4283846318721771,0.1085735484957695,0.13699142634868622,0.013034793548285961,0.028141416609287262,0.0054641165770590305,0.4002346694469452,0.10861598700284958
6999,0.13708603382110596,0.017263654619455338,0.028934525325894356,0.0076645673252642155,0.42791905999183655,0.10975347459316254,0.13324914872646332,0.016679033637046814,0.02739119715988636,0.007008048240095377,0.39873188734054565,0.10823129117488861
7999,0.13686293363571167,0.017037926241755486,0.028852447867393494,0.00761842867359519,0.4306313991546631,0.11057036370038986,0.13253556191921234,0.01685774140059948,0.02724013850092888,0.0070728943683207035,0.40504077076911926,0.11100926250219345
8999,0.1364108771085739,0.017219260334968567,0.028642231598496437,0.007628020364791155,0.4317920506000519,0.11126676201820374,0.13227258622646332,0.01742284931242466,0.027403365820646286,0.0073556541465222836,0.40622782707214355,0.11342719942331314
9999,0.13609255850315094,0.016967151314020157,0.0285468939691782,0.007607203908264637,0.4319458603858948,0.11126598715782166,0.13177628815174103,0.017157118767499924,0.027045786380767822,0.00721217505633831,0.4167270362377167,0.11605870723724365
10999,0.13598504662513733,0.016665030270814896,0.02846447192132473,0.007242890540510416,0.43081730604171753,0.1121617779135704,0.1327163279056549,0.015920422971248627,0.027058186009526253,0.0066358838230371475,0.41014212369918823,0.11414892226457596
11999,0.13587947189807892,0.01727033406496048,0.02848345972597599,0.007665231358259916,0.43597936630249023,0.11159957945346832,0.13658016920089722,0.012498417869210243,0.028079969808459282,0.005253338720649481,0.4102097451686859,0.11711087077856064
12999,0.13614340126514435,0.01713383011519909,0.028552189469337463,0.007622503209859133,0.43427029252052307,0.11128123849630356,0.13199330866336823,0.01712951809167862,0.027119383215904236,0.007184233516454697,0.4124130308628082,0.11711661517620087
13999,0.13521137833595276,0.016630565747618675,0.028210552409291267,0.007403343915939331,0.4370088279247284,0.11384393274784088,0.13183599710464478,0.017044836655259132,0.027057530358433723,0.00713285431265831,0.4136304557323456,0.11517501622438431
14999,0.13625863194465637,0.017069922760128975,0.028596971184015274,0.00750425411388278,0.43391236662864685,0.11209148168563843,0.13225069642066956,0.01680605858564377,0.027259979397058487,0.007060551550239325,0.4067074656486511,0.11357209086418152
15999,0.13554629683494568,0.016478758305311203,0.02829001657664776,0.00720463739708066,0.43385401368141174,0.11179881542921066,0.13284994661808014,0.019037708640098572,0.027989720925688744,0.008135950192809105,0.4133143126964569,0.11286880820989609
16999,0.13512705266475677,0.01638663560152054,0.028119875118136406,0.007151891477406025,0.4348362386226654,0.11236352473497391,0.13289642333984375,0.019302574917674065,0.02812889590859413,0.00826400239020586,0.41533541679382324,0.11527246236801147
17999,0.13537640869617462,0.016902660951018333,0.02824009768664837,0.007507207803428173,0.4388715326786041,0.11284497380256653,0.15122535824775696,0.00863069761544466,0.03360626846551895,0.0039689731784164906,0.4101836383342743,0.11769193410873413
18999,0.13509200513362885,0.01680302992463112,0.0281335711479187,0.007476935163140297,0.43702054023742676,0.11270714551210403,0.13282674551010132,0.014866536483168602,0.02707636170089245,0.006180957891047001,0.41301167011260986,0.11595864593982697
19999,0.13505052030086517,0.016542738303542137,0.028100349009037018,0.007166699040681124,0.4394831657409668,0.11327216029167175,0.1318441927433014,0.016847649589180946,0.027103858068585396,0.007058376912027597,0.4116674065589905,0.11809226870536804
20999,0.13476862013339996,0.01644519530236721,0.028037216514348984,0.007340061943978071,0.4401476979255676,0.11218368262052536,0.13229958713054657,0.01679915562272072,0.02705845795571804,0.007026695180684328,0.413923442363739,0.11683973670005798
21999,0.13532239198684692,0.016854286193847656,0.02822708711028099,0.0075621455907821655,0.43736720085144043,0.11393415182828903,0.13197268545627594,0.018322663381695747,0.027475876733660698,0.007753325160592794,0.41580355167388916,0.117120660841465
22999,0.1346977800130844,0.016095083206892014,0.02796029858291149,0.0070922402665019035,0.4410988688468933,0.11271825432777405,0.13679413497447968,0.012491966597735882,0.028115492314100266,0.0052603804506361485,0.4096699655056,0.11891945451498032
23999,0.135257750749588,0.01671735942363739,0.028225429356098175,0.007419475819915533,0.43701258301734924,0.11362477391958237,0.13173218071460724,0.01784038171172142,0.02719249203801155,0.007504780776798725,0.41783133149147034,0.11620697379112244
24999,0.13495397567749023,0.016653917729854584,0.028076305985450745,0.007317991461604834,0.43875938653945923,0.1125127449631691,0.13162074983119965,0.01701938360929489,0.027016453444957733,0.007124056573957205,0.4151478111743927,0.11594895273447037
25999,0.13483433425426483,0.016474496573209763,0.028011858463287354,0.007231961004436016,0.4403376579284668,0.11277220398187637,0.13360875844955444,0.020206617191433907,0.028765739873051643,0.008768835105001926,0.42335209250450134,0.11584331840276718
26999,0.135213702917099,0.01687510497868061,0.028203945606946945,0.0075880177319049835,0.43981003761291504,0.1129731610417366,0.1319977343082428,0.016686752438545227,0.02694341167807579,0.006947789341211319,0.4157537817955017,0.11907867342233658
27999,0.1344153732061386,0.01597835309803486,0.027851665392518044,0.0070572951808571815,0.44194555282592773,0.11292634904384613,0.13271208107471466,0.018925625830888748,0.02793692611157894,0.008064513094723225,0.4116043150424957,0.11743965744972229
28999,0.1350015252828598,0.01634904183447361,0.028066668659448624,0.007137733977288008,0.4366823434829712,0.11299888044595718,0.13357822597026825,0.014239328913390636,0.027108926326036453,0.005894050467759371,0.4174017310142517,0.11818650364875793
29999,0.1345731019973755,0.016675319522619247,0.02795323170721531,0.007373233791440725,0.4442574977874756,0.11202727258205414,0.13359741866588593,0.01420588418841362,0.02710060402750969,0.005886038299649954,0.4178887605667114,0.12167063355445862
